Team/School,Sport,League,Stadium,Capacity,City,State,lat,lon
High School Playoffs,Basketball,,Canton Memorial Field House,5280,Canton,OH,,
West Texas A&M University,Football,,Bain-Schaeffer Buffalo Stadium,8500,Canyon,TX,34.9861233,-101.9118403
West Texas A&M University,Basketball,,First United Bank Center,4700,Canyon,TX,34.9809152,-101.90398
Southeast Missouri State University,Football,,Houck Stadium,10000,Cape Girardeau,MO,37.309484,-89.5312126
Southeast Missouri State University,Basketball,,Show Me Center,7000,Cape Girardeau,MO,37.3201325,-89.5274199
Southern Illinois University,Football,,Saluki Stadium,15000,Carbondale,IL,37.7086372,-89.2162153
Southern Illinois University,Basketball,,SIU Arena,8284,Carbondale,IL,37.7082751,-89.2187176
University of West Georgia,Football,,University Stadium,10000,Carrollton,GA,33.5800126,-85.1206339
University of West Georgia,Football,,The Coliseum,7000,Carrollton,GA,33.5759045,-85.103896
LA Galaxy,Soccer,MLS,Dignity Health Sports Park,27000,Carson,CA,33.8622861,-118.2629822
California State University Dominguez Hills,Basketball,,Torodome,4200,Carson,CA,,
North Carolina FC,Soccer,USL Championship,WakeMed Soccer Park,10000,Cary,NC,35.78686,-78.7549887
High School Championship,Basketball,,Casper Events Center,8395,Casper,WY,,
UMBC,Basketball,,CEI Arena,4654,Catonsville,MD,,
Southern Utah University,Football,,Eccles Coliseum,8500,Cedar City,UT,37.6757601,-113.0770849
Southern Utah University,Basketball,,America First Event Center,5300,Cedar City,UT,,
University of Northern Iowa,Football,UNI,Dome,12200,Cedar Falls,IA,42.5156866,-92.4672611
University of Northern Iowa,Basketball,,McLeod Center,6650,Cedar Falls,IA,42.5143827,-92.4672609
Texas Stars,Hockey,AHL,H-E-B Center at Cedar Park,6778,Cedar Park,TX,30.5413221,-97.8205235
Kernels,Baseball,Midwest League,Veterans Memorial Stadium,5300,Cedar Rapids,IA,41.9679622,-91.6864836
Iowa Raptors,Indoor Soccer,MASL2,Alliant Energy PowerHouse,6800,Cedar Rapids,IA,41.9802456,-91.6675161
RoughRiders,Hockey,USHL,ImOn Ice Arena,3733,Cedar Rapids,IA,,
LI Ducks,Baseball,Atlantic League,Fairfield Properties Ballpark,6002,Central Islip,NY,,
University of Illinois,Football,,Memorial Stadium,60670,Champaign,IL,40.0992862,-88.2359605
University of Illinois,Basketball,,State Farm Center,15544,Champaign,IL,40.0962914,-88.2358969
University of Illinois,,Volleyball,Huff Hall,4536,Champaign,IL,40.1034533,-88.2327596
University of North Carolina,Football,,Kenan Stadium,50500,Chapel Hill,NC,35.9069432,-79.0478199
University of North Carolina,Basketball,,Dean E. Smith Center,21750,Chapel Hill,NC,35.8994837,-79.0438119
University of North Carolina,,Volleyball,Carmichael Arena,6822,Chapel Hill,NC,,
University of North Carolina,Baseball,,Boshamer Stadium,4100,Chapel Hill,NC,35.9063338,-79.0434986
Eastern Illinois University,Football,,O'Brien Field,10000,Charleston,IL,39.4804872,-88.1811524
Eastern Illinois University,Basketball,,Groniger Arena,4200,Charleston,IL,,
The Citadel,Football,,Johnson Hagood Stadium,11427,Charleston,SC,32.7936877,-79.9558604
Credit One Charleston Open,Tennis,WTA,Credit One Stadium,11000,Charleston,SC,32.8614507,-79.9036243
The Citadel,Basketball,,McAlister Field House,6000,Charleston,SC,32.7985622,-79.9625348
RiverDogs,Baseball,Carolina League,"Joseph P. Riley, Jr. Park",5549,Charleston,SC,,
College of Charleston,Basketball,,TD Arena,5100,Charleston,SC,32.7854843,-79.9344361
University of Charleston,Football,,UC Stadium at Laidley Field,18500,Charleston,WV,,
High School Championship,Basketball,,Charleston Civic Center,12337,Charleston,WV,38.3561795,-81.6406084
Dirty Birds,Baseball,Atlantic League,GoMart Park,4500,Charleston,WV,,
Carolina Panthers,Football,NFL,Bank of America Stadium,74867,Charlotte,NC,35.225774,-80.8528276
Hornets,Basketball,NBA,Spectrum Center,17500,Charlotte,NC,35.225098,-80.8391541
UNC Charlotte,Football,,Jerry Richardson Stadium,15314,Charlotte,NC,35.3104741,-80.7400756
Independence,Soccer,USL League One,Memorial Stadium,10500,Charlotte,NC,35.2181631,-80.8289293
Knights,Baseball,IL,Truist Field,10200,Charlotte,NC,35.2282839,-80.8487709
UNC Charlotte,Basketball,,Halton Arena,9105,Charlotte,NC,,
Checkers,Hockey,AHL,Bojangles’ Coliseum,8500,Charlotte,NC,35.2050177,-80.7951707
University of Virginia,Football,,Scott Stadium,61500,Charlottesville,VA,,
University of Virginia,Basketball,,John Paul Jones Arena,14623,Charlottesville,VA,38.0459828,-78.5066437
University of Virginia,Baseball,,Disharoon Park,5919,Charlottesville,VA,,
Islanders,Hockey,QMJHL,Eastlink Centre,3667,Charlottetown,PE,,
University of Tennessee at Chattanooga,Football,,Finley Stadium,20668,Chattanooga,TN,35.0363053,-85.3157148
University of Tennessee at Chattanooga,Basketball,,McKenzie Arena,10995,Chattanooga,TN,35.0504026,-85.3009439
Lookouts,Baseball,Southern League,AT&T Field,6360,Chattanooga,TN,35.0545274,-85.3141224
University of Tennessee at Chattanooga,,Volleyball,Maclellan Gym,4177,Chattanooga,TN,35.0483433,-85.2998278
Eastern Washington University,Football,,Roos Field,8600,Cheney,WA,47.4926606,-117.5880525
Eastern Washington University,Basketball,,Reese Court,5000,Cheney,WA,47.491366,-117.5894021
Philadelphia Union,Soccer,MLS,Subaru Stadium,18500,Chester,PA,39.8329094,-75.3784739
Boston College,Football,,Alumni Stadium,44500,Chestnut Hill,MA,,
Boston College,Basketball,,Conte Forum,8606,Chestnut Hill,MA,,
Bears,Football,NFL,Soldier Field,61500,Chicago,IL,41.8624515,-87.6167151
Cubs,Baseball,MLB,Wrigley Field,41160,Chicago,IL,41.9481846,-87.655559
White Sox,Baseball,MLB,Rate Field,40615,Chicago,IL,41.829692,-87.6337919
Blackhawks,Hockey,NHL,United Center,19717,Chicago,IL,41.8806831,-87.6741851
DePaul University,Basketball,,Wintrust Arena,10387,Chicago,IL,41.8536992,-87.6213549
University of Illinois - Chicago,Basketball,,Credit Union 1 Arena,8000,Chicago,IL,41.8746993,-87.6561358
Chicago State University,Basketball,,Jones Convocation Center,7000,Chicago,IL,41.7165483,-87.6085078
Loyola University Chicago,Basketball,,Gentile Arena,4486,Chicago,IL,,
Chico State University,Baseball,,Nettleton Stadium,4200,Chico,CA,39.7307256,-121.8528006
Sagueneens,Hockey,QMJHL,Georges-Vézina Centre,3759,Chicoutimi,QC,,
Chiefs,Hockey,BCHL,Chilliwack Coliseum,5058,Chilliwack,BC,,
Bengals,Football,NFL,Paycor Stadium,65515,Cincinnati,OH,39.0954645,-84.5160488
Reds,Baseball,MLB,Great American Ball Park,42319,Cincinnati,OH,39.0972484,-84.5066233
University of Cincinnati,Football,,Nippert Stadium,38088,Cincinnati,OH,39.1311213,-84.5162298
FC Cincinnati,Soccer,MLS,TQL Stadium,26000,Cincinnati,OH,39.1111789,-84.5222288
Cyclones,Hockey,ECHL,Heritage Bank Center,12823,Cincinnati,OH,39.0979262,-84.5044458
University of Cincinnati,Basketball,,Fifth Third Arena,12012,Cincinnati,OH,39.1311038,-84.5141165
Xavier University,Basketball,,Cintas Center,10224,Cincinnati,OH,39.1504378,-84.4717855
Austin Peay State University,Football,,Fortera Stadium,10000,Clarksville,TN,36.5364402,-87.3526275
Austin Peay State University,,Volleyball,Winfield Dunn Center,7257,Clarksville,TN,36.5362947,-87.3566704
Austin Peay State University,Basketball,,F&M Bank Center,5500,Clarksville,TN,,
Threshers,Baseball,Florida State League,BayCare Ballpark,7000,Clearwater,FL,27.9717307,-82.7316413
Clemson University,Football,,Memorial Stadium,81500,Clemson,SC,,
Clemson University,Basketball,,Littlejohn Coliseum,9000,Clemson,SC,,
Clemson University,Baseball,,Doug Kingsmore Stadium,6272,Clemson,SC,34.6789444,-82.8492456
Browns,Football,NFL,Huntington Bank Field,67895,Cleveland,OH,41.5060559,-81.6997118
Guardians,Baseball,MLB,Progressive Field,35031,Cleveland,OH,41.4960906,-81.6851319
Cavaliers,Basketball,NBA,Rocket Arena,19432,Cleveland,OH,41.4966862,-81.6885754
Cleveland State University,Basketball,,Wolstein Center,13610,Cleveland,OH,41.4992338,-81.6766496
G,Basketball,League,Cleveland Public Auditorium,6500,Cleveland,OH,41.5035164,-81.6928913
LumberKings,Baseball,Prospect League,NelsonCorp Field,4000,Clinton,IA,,
Mississippi College,Football,Robinson,Hale Stadium,8500,Clinton,MS,,
Mississippi College,Basketball,,A.E. Wood Coliseum,3500,Clinton,MS,32.3351606,-90.3322684
G,Basketball,League,Gateway Center Arena,3500,College Park,GA,33.6468018,-84.4597008
University of Maryland,Football,,SECU Stadium,46185,College Park,MD,38.9902987,-76.9474534
University of Maryland,Basketball,,Xfinity Center,17950,College Park,MD,38.9956239,-76.9413362
Texas A&M University,Football,,Kyle Field,102733,College Station,TX,30.6098548,-96.3403698
Texas A&M University,Basketball,,Reed Arena,12989,College Station,TX,30.6056831,-96.3462955
Texas A&M University,Baseball,,Blue Bell Park,6100,College Station,TX,30.6054043,-96.3410452
Air Force Academy,Football,,Falcon Stadium,39441,Colorado Springs,CO,,
Rocky Mountain Vibes,Baseball,Pioneer League,UCHealth Park,8500,Colorado Springs,CO,38.8941059,-104.7101947
Switchbacks,Soccer,USL Championship,Weidner Field,8000,Colorado Springs,CO,38.8262541,-104.8283922
Air Force Academy,Basketball,,Clune Arena,5508,Colorado Springs,CO,,
Colorado College,Hockey,,Ed Robson Arena,3400,Colorado Springs,CO,38.8461172,-104.8219947
University of Missouri,Football,,Memorial Stadium,62621,Columbia,MO,38.9358467,-92.3332826
University of Missouri,Basketball,,Mizzou Arena,15061,Columbia,MO,38.9324819,-92.3337338
University of Missouri,,Volleyball,Hearnes Center,13661,Columbia,MO,38.934326,-92.3305843
University of South Carolina,Football,,Williams-Brice Stadium,77559,Columbia,SC,33.9731167,-81.0191564
University of South Carolina,Basketball,,Colonial Life Arena,18000,Columbia,SC,33.9947839,-81.0373546
Benedict College,Football,,Charlie W. Johnson Stadium,11000,Columbia,SC,34.018223,-81.0107236
Fireflies,Baseball,Carolina League,Segra Park,7501,Columbia,SC,34.0183234,-81.0312293
University of South Carolina,Baseball,,Founders Park,6400,Columbia,SC,33.9866662,-81.0427024
Fountain City Classic,Football,,AJ McClung Memorial Stadium,15000,Columbus,GA,,
River Dragons,Hockey,FPHL,Columbus Civic Center,7259,Columbus,GA,32.4501599,-84.9877001
Columbus State University,Basketball,,Frank G. Lumpkin Jr. Center,4500,Columbus,GA,32.5043613,-84.9401911
Clingstones,Baseball,Southern League,Synovus Park,5500,Columbus,GA,,
Ohio State University,Football,,Ohio Stadium,102780,Columbus,OH,40.0016458,-83.0197374
Crew,Soccer,MLS,Lower.com Field,20011,Columbus,OH,39.968362,-83.0166582
Crew 2,Soccer,MLSNP,Historic Crew Stadium,19968,Columubs,OH,,
