 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
98	Cristiana Girelli	it ITA	FW	Bay FC	35-353	1990	3	3	250	2.8	0	2	2	0	0	0	0	0	0.00	0.72	0.72	0.00	0.72	Matches
99	Lia Godfrey	us USA	MF,FW	SD Wave	24-154	2001	5	3	262	2.9	3	0	3	3	0	0	0	0	1.03	0.00	1.03	1.03	1.03	Matches
100	Nádia Gomes	pt POR	FW	Chicago Stars	29-153	1996	2	1	116	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
101	Esther González	es ESP	FW	Gotham FC	33-124	1992	5	3	345	3.8	1	0	1	1	0	0	0	0	0.26	0.00	0.26	0.26	0.26	Matches
102	Sarah Gorden	us USA	DF	Angel City FC	33-210	1992	3	2	189	2.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
103	Maggie Graham	us USA	MF	Houston Dash	23-275	2002	4	4	355	3.9	1	1	2	1	0	0	0	0	0.25	0.25	0.51	0.25	0.51	Matches
104	Julia Grosso	ca CAN	MF	Chicago Stars	25-225	2000	5	5	417	4.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
105	Amanda Gutierres	br BRA	MF,FW	Boston Legacy	22-220	2003	4	2	221	2.5	0	1	1	0	0	0	1	0	0.00	0.41	0.41	0.00	0.41	Matches
106	Madison Hammond	us USA	MF	Royals	28-147	1997	2	1	108	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
107	DiDi Haracic	ba BIH	GK	SD Wave	33-364	1992	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
108	Cate Hardin		DF	Houston Dash			1	0	5	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
109	Khyah Harper	us USA	FW	Gotham FC	23-239	2002	1	0	15	0.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
110	Nya Harrison	us USA	DF	SD Wave	23-153	2002	2	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
111	Shae Harvey	us USA	MF	Portland Thorns	21-041	2005	2	1	75	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
112	Josefine Hasbo	dk DEN	MF	Boston Legacy	24-142	2001	4	1	103	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
113	Ella Hase	us USA	MF,FW	Racing Louisville	23-273	2002	4	4	285	3.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
114	Manaka Hayashi	jp JPN	MF	Chicago Stars	21-238	2004	5	5	383	4.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
